Experiment,Window,Model,Accuracy,Precision,Recall,F1,AUC
Baseline,Q1,Logistic Regression,0.7277,0.6752,0.8191,0.7402,0.8275
Baseline,Q1,MLP,0.7456,0.7051,0.7952,0.7475,0.8449
Baseline,Q1,Random Forest,0.7006,0.6325,0.8775,0.7352,0.8465
Baseline,Q1,SVM,0.7249,0.67,0.826,0.7398,0.8298
Baseline,Q1,XGBoost,0.7423,0.69,0.8276,0.7526,0.8538
CA_Final,Q1,Logistic Regression,0.7364,0.6928,0.7967,0.7411,0.8339
CA_Final,Q1,MLP,0.7439,0.7032,0.7946,0.7461,0.8438
CA_Final,Q1,Random Forest,0.72,0.6601,0.8425,0.7402,0.8478
CA_Final,Q1,SVM,0.7189,0.6609,0.8346,0.7376,0.831
CA_Final,Q1,XGBoost,0.7277,0.6678,0.8456,0.7463,0.8547
LSTM,Q1,BiLSTM,0.7121,0.6559,0.8246,0.7306,0.8293
LSTM,Q1,LSTM,0.7076,0.649,0.8327,0.7295,0.8293
HybridLSTM_CAF,Q1,HybridBiLSTM_CAF,0.7512,0.7051,0.8158,0.7564,0.8556
HybridLSTM_CAF,Q1,HybridLSTM_CAF,0.7436,0.6891,0.8352,0.7552,0.8531
Baseline,Q2,Logistic Regression,0.8156,0.7842,0.8425,0.8123,0.9084
Baseline,Q2,MLP,0.7982,0.746,0.87,0.8032,0.9072
Baseline,Q2,Random Forest,0.7958,0.7432,0.869,0.8012,0.9097
Baseline,Q2,SVM,0.7879,0.7311,0.8735,0.796,0.9055
Baseline,Q2,XGBoost,0.7928,0.7342,0.8814,0.8011,0.9106
CA_Final,Q2,Logistic Regression,0.8101,0.7704,0.8533,0.8097,0.9093
CA_Final,Q2,MLP,0.8077,0.7716,0.8437,0.806,0.9076
CA_Final,Q2,Random Forest,0.798,0.7449,0.872,0.8035,0.9099
CA_Final,Q2,SVM,0.796,0.7435,0.8692,0.8014,0.9074
CA_Final,Q2,XGBoost,0.7908,0.7283,0.8906,0.8013,0.911
LSTM,Q2,BiLSTM,0.8207,0.8122,0.8083,0.8103,0.902
LSTM,Q2,LSTM,0.8269,0.838,0.7865,0.8114,0.9007
HybridLSTM_CAF,Q2,HybridBiLSTM_CAF,0.8389,0.8349,0.8223,0.8286,0.9167
HybridLSTM_CAF,Q2,HybridLSTM_CAF,0.8359,0.8323,0.8183,0.8252,0.9144
Baseline,Q3,Logistic Regression,0.8932,0.9338,0.8335,0.8808,0.9486
Baseline,Q3,MLP,0.8912,0.9087,0.8562,0.8817,0.9496
Baseline,Q3,Random Forest,0.8803,0.8872,0.8559,0.8713,0.9453
Baseline,Q3,SVM,0.8532,0.8155,0.8916,0.8519,0.9353
Baseline,Q3,XGBoost,0.8733,0.86,0.8749,0.8674,0.9475
CA_Final,Q3,Logistic Regression,0.8862,0.8988,0.8559,0.8769,0.9465
CA_Final,Q3,MLP,0.89,0.9099,0.8521,0.8801,0.9492
CA_Final,Q3,Random Forest,0.8687,0.8549,0.8704,0.8626,0.9465
CA_Final,Q3,SVM,0.865,0.8517,0.8657,0.8586,0.9266
CA_Final,Q3,XGBoost,0.8789,0.8737,0.87,0.8719,0.9484
LSTM,Q3,BiLSTM,0.89,0.9294,0.8309,0.8774,0.9429
LSTM,Q3,LSTM,0.8841,0.9162,0.8313,0.8717,0.9407
HybridLSTM_CAF,Q3,HybridBiLSTM_CAF,0.8884,0.9134,0.8443,0.8775,0.9454
HybridLSTM_CAF,Q3,HybridLSTM_CAF,0.8832,0.8974,0.8504,0.8733,0.9437
Baseline,Master,Logistic Regression,0.879,0.8619,0.8865,0.874,0.949
Baseline,Master,MLP,0.8415,0.7915,0.9032,0.8437,0.9444
Baseline,Master,Random Forest,0.8558,0.8132,0.9028,0.8557,0.9471
Baseline,Master,SVM,0.8583,0.8182,0.9008,0.8575,0.9435
Baseline,Master,XGBoost,0.8485,0.7934,0.9195,0.8518,0.9507
CA_Final,Master,Logistic Regression,0.8777,0.8584,0.8881,0.873,0.9492
CA_Final,Master,MLP,0.8617,0.8223,0.9032,0.8609,0.9497
CA_Final,Master,Random Forest,0.8609,0.8203,0.9042,0.8602,0.9478
CA_Final,Master,SVM,0.8476,0.7967,0.9104,0.8498,0.9423
CA_Final,Master,XGBoost,0.8609,0.8199,0.9051,0.8604,0.9503
LSTM,Master,BiLSTM,0.9151,0.9442,0.8722,0.9068,0.9579
LSTM,Master,LSTM,0.9168,0.951,0.8692,0.9082,0.9585
HybridLSTM_CAF,Master,HybridBiLSTM_CAF,0.9186,0.9398,0.8847,0.9114,0.965
HybridLSTM_CAF,Master,HybridLSTM_CAF,0.9177,0.9391,0.8835,0.9104,0.9644
