Window,Model,CV AUC,CV AUC Std,CV F1,CV F1 Std,CV Recall,Train AUC,Overfit Gap
Q1,Logistic Regression,0.8189,0.0085,0.7204,0.028,0.6674,0.8253,0.0065
Q1,SVM,0.8248,0.0076,0.723,0.0243,0.6663,0.8482,0.0234
Q1,Random Forest,0.8272,0.0116,0.7274,0.0221,0.6769,0.8695,0.0423
Q1,XGBoost,0.835,0.0114,0.7367,0.0205,0.6931,0.8642,0.0292
Q2,Logistic Regression,0.898,0.0071,0.805,0.0078,0.7231,0.902,0.004
Q2,SVM,0.8872,0.0075,0.7811,0.0046,0.6751,0.9023,0.0151
Q2,Random Forest,0.8987,0.0054,0.8021,0.0061,0.7139,0.9292,0.0306
Q2,XGBoost,0.9026,0.0058,0.8125,0.0035,0.7502,0.928,0.0254
Q3,Logistic Regression,0.9332,0.004,0.8726,0.0005,0.8078,0.9357,0.0025
Q3,SVM,0.9218,0.0021,0.8696,0.002,0.7924,0.9317,0.0099
Q3,Random Forest,0.9308,0.0057,0.8719,0.0019,0.7978,0.9563,0.0255
Q3,XGBoost,0.9341,0.0035,0.8727,0.0035,0.821,0.9539,0.0198
Master,Logistic Regression,0.9441,0.0081,0.8741,0.0112,0.8615,0.9487,0.0045
Master,SVM,0.9419,0.0044,0.878,0.0122,0.8421,0.954,0.012
Master,Random Forest,0.9462,0.0054,0.8788,0.0077,0.8401,0.9668,0.0207
Master,XGBoost,0.9501,0.0079,0.8779,0.0161,0.8631,0.9693,0.0193
